id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02287	303	183	10	337	1244	402
TIGR02286	197	122	0	278	934	361
TIGR01778	265	198	0	321	1355	491
TIGR01779	819	754	32	1096	4408	1255
TIGR03802	0	0	0	7	33	9
TIGR03801	75	75	8	108	267	74
TIGR03806	139	68	0	2	15	10
TIGR03804	0	0	0	14	17	5
TIGR04051	52	57	2	60	241	47
TIGR00824	0	0	0	4	18	0
TIGR04053	73	87	4	106	367	92
TIGR01413	18	11	0	33	136	27
TIGR01411	61	46	4	51	177	89
TIGR01410	10	36	4	16	99	20
TIGR01417	649	543	39	844	2728	977
TIGR01416	415	345	22	482	1560	574
TIGR01415	273	241	8	290	983	382
TIGR01414	45	45	4	17	99	43
TIGR01419	206	146	13	235	748	285
TIGR01418	618	577	30	1205	3951	1318
TIGR02199	119	87	6	212	520	222
TIGR02198	199	228	9	576	1975	571
TIGR02197	572	607	47	675	2202	892
TIGR02196	77	112	4	74	291	89
TIGR02195	368	346	18	659	2069	723
TIGR02193	324	312	20	461	1590	593
TIGR02191	208	210	9	284	1044	418
TIGR02190	67	75	1	27	70	21
TIGR00177	549	482	16	826	2522	934
TIGR00176	0	0	2	60	118	29
TIGR00175	79	80	9	124	272	96
TIGR00174	89	118	6	292	989	365
TIGR00173	34	22	2	134	415	144
TIGR00172	523	468	41	798	2371	804
TIGR00171	120	118	5	163	456	192
TIGR00170	913	749	53	1062	3170	1382
TIGR00179	106	115	1	166	586	204
TIGR00178	818	836	39	834	2793	1039
TIGR02997	1562	1443	378	1752	5562	2112
TIGR02995	83	68	6	68	504	126
TIGR02993	48	44	2	69	249	85
TIGR02992	36	56	2	22	64	10
TIGR02991	536	425	27	666	2528	916
TIGR02999	6	5	0	9	115	38
TIGR02998	135	126	6	203	770	246
TIGR03554	365	290	17	529	1522	623
TIGR03555	2878	2399	136	3698	10813	4663
TIGR03557	395	319	7	566	1596	696
TIGR04270	0	0	0	11	59	6
TIGR03551	144	101	9	253	655	195
TIGR03552	189	113	12	268	968	402
TIGR02277	35	38	2	6	30	12
TIGR00287	101	62	10	144	803	202
TIGR03558	1996	1631	115	2464	6659	3009
TIGR03559	1632	1292	81	2156	6717	2523
TIGR04075	49	17	2	0	4	4
TIGR02868	5033	4444	335	6333	21411	7600
TIGR02866	512	385	36	458	1669	459
TIGR02733	0	0	0	2	27	6
TIGR02735	39	42	4	84	220	75
TIGR00593	1790	1646	96	1869	6038	2861
TIGR00592	81	32	0	10	37	19
TIGR00595	256	213	11	290	1081	410
TIGR00594	1388	1037	69	1161	4362	1798
TIGR01181	1140	1095	84	1466	4835	1931
TIGR01180	38	70	2	28	64	23
TIGR01183	22	6	0	90	377	80
TIGR01182	29	39	0	16	28	12
TIGR03482	0	0	0	4	29	8
TIGR01184	3868	3507	270	4736	16925	6081
TIGR01187	4252	3895	282	5405	19363	6793
TIGR00358	898	693	75	1125	3736	1373
TIGR00357	272	269	32	368	1463	481
TIGR01188	5390	4988	367	6905	24842	8601
TIGR00355	767	660	70	1056	3276	1133
TIGR00353	448	321	39	303	882	348
TIGR00351	3	0	0	34	85	13
TIGR01349	800	673	42	968	3860	1271
TIGR01348	991	867	47	1120	4286	1458
TIGR01347	892	752	42	1072	4110	1359
TIGR01346	472	497	28	658	1623	706
TIGR01345	1148	977	78	1283	4762	1595
TIGR01344	1	2	0	35	120	35
TIGR01343	715	575	39	889	2658	1190
TIGR01342	883	786	56	1111	3283	1467
TIGR01341	1116	995	61	1289	3864	1594
TIGR01340	974	849	60	1197	3628	1530
TIGR02607	130	113	2	90	363	167
TIGR02606	161	223	4	158	731	231
TIGR02605	28	20	0	65	179	66
TIGR02602	194	235	8	282	933	441
TIGR04102	140	146	14	144	614	302
TIGR04103	53	55	2	48	173	50
TIGR04107	239	253	11	342	1262	373
TIGR02608	0	0	0	2	8	0
TIGR03219	50	42	56	26	66	48
TIGR04290	120	74	3	136	410	184
